R Benaud (Aus),1952-1964,63,97,7,2201,122,24.45,3,9,8,Test,Batting
DJ Bravo (WI),2004-2010,40,71,1,2200,113,31.42,3,13,6,Test,Batting
VS Hazare (India),1946-1953,30,52,6,2192,164*,47.65,7,9,4,Test,Batting
GA Headley (WI),1930-1954,22,40,4,2190,270*,60.83,10,5,2,Test,Batting
D Ganga (WI),1998-2008,48,86,2,2160,135,25.71,3,9,9,Test,Batting
JB Stollmeyer (WI),1939-1955,32,56,5,2159,160,42.33,4,12,2,Test,Batting
CG Macartney (Aus),1907-1926,35,55,4,2131,170,41.78,7,9,1,Test,Batting
HAPW Jayawardene (SL),2000-2015,58,83,11,2124,154*,29.5,4,5,9,Test,Batting
WH Ponsford (Aus),1924-1934,29,48,4,2122,266,48.22,7,6,1,Test,Batting
RA McLean (SA),1951-1964,40,73,3,2120,142,30.28,5,10,11,Test,Batting
AL Wadekar (India),1966-1974,37,71,3,2113,143,31.07,1,14,7,Test,Batting
MH Mankad (India),1946-1959,44,72,5,2109,231,31.47,5,6,7,Test,Batting
AN Petersen (SA),2010-2015,36,64,4,2093,182,34.88,5,8,3,Test,Batting
CPS Chauhan (India),1969-1981,40,68,2,2084,97,31.57,0,16,6,Test,Batting
Imtiaz Ahmed (Pak),1952-1962,41,72,1,2079,209,29.28,3,11,9,Test,Batting
K Srikkanth (India),1981-1992,43,72,3,2062,123,29.88,2,12,7,Test,Batting
RM Cowper (Aus),1964-1968,27,46,2,2061,307,46.84,5,10,3,Test,Batting
PE Richardson (Eng),1956-1963,34,56,1,2061,126,37.47,5,9,1,Test,Batting
ML Jaisimha (India),1959-1971,39,71,4,2056,129,30.68,3,12,9,Test,Batting
LG Rowe (WI),1972-1980,30,49,2,2047,302,43.55,7,7,2,Test,Batting
SV Manjrekar (India),1987-1996,37,61,6,2043,218,37.14,4,9,3,Test,Batting
MG Johnson (Aus),2007-2015,71,107,16,2034,123*,22.35,1,11,19,Test,Batting
BA Young (NZ),1993-1999,35,68,4,2034,267*,31.78,2,12,5,Test,Batting
MJ Greatbatch (NZ),1988-1996,41,71,5,2021,146*,30.62,3,10,9,Test,Batting
CJL Rogers (Aus),2008-2015,25,48,1,2015,173,42.87,5,14,1,Test,Batting
AC Hudson (SA),1992-1998,35,63,3,2007,163,33.45,4,13,7,Test,Batting
DN Sardesai (India),1961-1972,30,55,4,2001,212,39.23,5,9,4,Test,Batting
TW Hayward (Eng),1896-1909,35,60,2,1999,137,34.46,3,12,7,Test,Batting
MA Noble (Aus),1898-1909,42,73,7,1997,133,30.25,1,16,4,Test,Batting
DL Murray (WI),1963-1980,62,96,9,1993,91,22.9,0,11,7,Test,Batting
HH Streak (Zim),1993-2005,65,107,18,1990,127*,22.35,1,11,15,Test,Batting
AD Gaekwad (India),1974-1985,40,70,4,1985,201,30.07,2,10,4,Test,Batting
G Pullar (Eng),1959-1963,28,49,4,1974,175,43.86,4,12,3,Test,Batting
